Date	Symbol	Status	Leverage	$ Used	Type	Last Target	Profit %	Net Profit	 $1,000.00 
Monday, September 1, 2025	CHZ/USDT	Stopped Out	Isolated (20.0X)	50	Long	0	-29.6	-1.48%	 $(14.82)
Wednesday, September 3, 2025	ALGO/USDT	Stopped Out	Isolated (20.0X)	50	Short	0	-28.5	-1.42%	 $(14.23)
Wednesday, September 3, 2025	YFI/USDT	Stopped Out	Isolated (20.0X)	50	Long	0	-30.0	-1.50%	 $(15.02)
Thursday, September 4, 2025	CHZ/USDT	Stopped Out	Isolated (20.0X)	50	Long	0	-30.2	-1.51%	 $(15.11)
Thursday, September 4, 2025	XVG/USDT	Stopped Out	Isolated (20.0X)	50	Long	0	-29.8	-1.49%	 $(14.88)
Thursday, September 4, 2025	ACH/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	1	5.0	0.25%	 $2.50 
Friday, September 5, 2025	ACH/USDT	Stopped Out	Isolated (20.0X)	50	Long	0	-9.6	-0.48%	 $(4.79)
Friday, September 5, 2025	ACH/USDT	Stopped Out	Isolated (20.0X)	50	Long	0	-9.6	-0.48%	 $(4.79)
Saturday, September 6, 2025	ACH/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	1	12.3	0.62%	 $6.16 
Saturday, September 6, 2025	SNX/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Short	2	14.9	0.75%	 $7.46 
Saturday, September 6, 2025	YFI/USDT	All Targets Achieved	Isolated (20.0X)	50	Long	4	53.4	2.67%	 $26.70 
Saturday, September 6, 2025	ZEN/USDT	Stopped Out	Isolated (20.0X)	50	Short	0	-30.1	-1.50%	 $(15.03)
Sunday, September 7, 2025	ATA/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Short	1	5.5	0.27%	 $2.74 
Sunday, September 7, 2025	YFI/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	1	5.0	0.25%	 $2.48 
Sunday, September 7, 2025	ALGO/USDT	Stopped Out	Isolated (20.0X)	50	Short	0	-14.9	-0.74%	 $(7.43)
Sunday, September 7, 2025	ALGO/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Short	1	5.1	0.25%	 $2.53 
Sunday, September 7, 2025	ACH/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	1	4.9	0.25%	 $2.47 
Sunday, September 7, 2025	ALICE/USDT	All Targets Achieved	Isolated (20.0X)	50	Long	4	50.6	2.53%	 $25.28 
Sunday, September 7, 2025	ACH/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	1	4.9	0.25%	 $2.47 
Sunday, September 7, 2025	SNX/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Short	1	5.2	0.26%	 $2.61 
Sunday, September 7, 2025	ALICE/USDT	Stopped Out	Isolated (20.0X)	50	Long	0	-28.1	-1.40%	 $(14.04)
Sunday, September 7, 2025	YFI/USDT	All Targets Achieved	Isolated (20.0X)	50	Long	4	52.3	2.62%	 $26.15 
Monday, September 8, 2025	SNX/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Short	1	5.1	0.25%	 $2.54 
Monday, September 8, 2025	YFI/USDT	Stopped Out	Isolated (20.0X)	50	Long	0	-30.0	-1.50%	 $(14.98)
Monday, September 8, 2025	ATA/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Short	2	28.4	1.42%	 $14.21 
Monday, September 8, 2025	SNX/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Short	1	5.1	0.25%	 $2.54 
Monday, September 8, 2025	ACH/USDT	All Targets Achieved	Isolated (20.0X)	50	Long	4	50.3	2.51%	 $25.13 
Monday, September 8, 2025	ALICE/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	3	32.4	1.62%	 $16.22 
Tuesday, September 9, 2025	SNX/USDT	All Targets Achieved	Isolated (20.0X)	50	Short	4	50.3	2.51%	 $25.14 
Tuesday, September 9, 2025	XVG/USDT	All Targets Achieved	Isolated (20.0X)	50	Long	4	49.8	2.49%	 $24.91 
Tuesday, September 9, 2025	SNX/USDT	All Targets Achieved	Isolated (20.0X)	50	Short	4	50.3	2.51%	 $25.14 
Tuesday, September 9, 2025	ALICE/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	3	87.0	4.35%	 $43.49 
Tuesday, September 9, 2025	XVG/USDT	All Targets Achieved	Isolated (20.0X)	50	Long	4	104.4	5.22%	 $52.22 
Tuesday, September 9, 2025	CHZ/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	2	17.3	0.87%	 $8.66 
Tuesday, September 9, 2025	YFI/USDT	All Targets Achieved	Isolated (20.0X)	50	Long	4	49.8	2.49%	 $24.90 
Tuesday, September 9, 2025	CHZ/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	2	16.8	0.84%	 $8.42 
Wednesday, September 10, 2025	YFI/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	1	5.0	0.25%	 $2.48 
Wednesday, September 10, 2025	ATA/USDT	All Targets Achieved	Isolated (20.0X)	50	Short	4	50.7	2.54%	 $25.35 
Wednesday, September 10, 2025	XVG/USDT	All Targets Achieved	Isolated (20.0X)	50	Long	4	91.2	4.56%	 $45.59 
Wednesday, September 10, 2025	ATA/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Short	2	15.2	0.76%	 $7.61 
Wednesday, September 10, 2025	ACH/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	1	5.1	0.26%	 $2.55 
Thursday, September 11, 2025	ACH/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	1	5.1	0.26%	 $2.55 
Friday, September 12, 2025	ALGO/USDT	Stopped Out	Isolated (20.0X)	50	Short	0	-30.0	-1.50%	 $(15.00)
Friday, September 12, 2025	ATA/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Short	1	9.5	0.47%	 $4.75 
Friday, September 12, 2025	YFI/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	1	5.0	0.25%	 $2.51 
Friday, September 12, 2025	CHZ/USDT	All Targets Achieved	Isolated (20.0X)	50	Long	4	49.7	2.49%	 $24.86 
Friday, September 12, 2025	CHZ/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	1	5.0	0.25%	 $2.49 
Friday, September 12, 2025	SNX/USDT	All Targets Achieved	Isolated (20.0X)	50	Short	4	100.5	5.02%	 $50.24 
Saturday, September 13, 2025	CHZ/USDT	Stopped Out	Isolated (20.0X)	50	Long	0	-31.0	-1.55%	 $(15.50)
Saturday, September 13, 2025	ALGO/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Short	3	69.8	3.49%	 $34.89 
Saturday, September 13, 2025	SNX/USDT	All Targets Achieved	Isolated (20.0X)	50	Short	4	96.6	4.83%	 $48.28 
Saturday, September 13, 2025	YFI/USDT	Stopped Out	Isolated (20.0X)	50	Long	0	-29.8	-1.49%	 $(14.88)
Sunday, September 14, 2025	SNX/USDT	All Targets Achieved	Isolated (20.0X)	50	Short	4	49.9	2.49%	 $24.93 
Sunday, September 14, 2025	ACH/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	1	5.0	0.25%	 $2.50 
Sunday, September 14, 2025	XVG/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	1	5.1	0.26%	 $2.55 
Sunday, September 14, 2025	YFI/USDT	Partial Targets Achieved	Isolated (20.0X)	50	Long	1	5.0	0.25%	 $2.51 
